gene_name,TCGA-A5-A1OH-01,TCGA-A5-A2K3-01,TCGA-A5-A2K4-01,TCGA-A5-A2K5-01,TCGA-A5-A2K7-01,TCGA-A5-A3LO-01,TCGA-A5-A3LP-01,TCGA-AJ-A23N-01,TCGA-AJ-A2QM-01,TCGA-AJ-A3BD-01,TCGA-AJ-A3BF-01,TCGA-AJ-A3BH-01,TCGA-AJ-A3BK-01,TCGA-AJ-A3EK-01,TCGA-AJ-A3NG-01,TCGA-AJ-A3OJ-01,TCGA-AJ-A3OK-01,TCGA-AJ-A3OL-01,TCGA-AJ-A3TW-01,TCGA-AX-A2HH-01,TCGA-AX-A3FS-01,TCGA-AX-A3FT-01,TCGA-AX-A3FV-01,TCGA-AX-A3FW-01,TCGA-AX-A3FX-01,TCGA-AX-A3FZ-01,TCGA-AX-A3G4-01,TCGA-AX-A3G8-01,TCGA-AX-A3G9-01,TCGA-AX-A3GI-01,TCGA-B5-A0JN-01,TCGA-B5-A0K9-01,TCGA-B5-A1MS-01,TCGA-B5-A1MW-01,TCGA-B5-A3FA-01,TCGA-B5-A3FB-01,TCGA-B5-A3FC-01,TCGA-B5-A3FD-01,TCGA-B5-A3FH-01,TCGA-B5-A3S1-01,TCGA-BG-A0MK-01,TCGA-BG-A3EW-01,TCGA-BG-A3PP-01,TCGA-BK-A0CA-01,TCGA-BK-A0CC-01,TCGA-BK-A139-01,TCGA-BK-A13B-01,TCGA-BK-A26L-01,TCGA-BS-A0V4-01,TCGA-BS-A0V7-01,TCGA-D1-A2G0-01,TCGA-D1-A3DA-01,TCGA-D1-A3DG-01,TCGA-D1-A3DH-01,TCGA-D1-A3JQ-01,TCGA-DF-A2KN-01,TCGA-DF-A2KU-01,TCGA-DF-A2KV-01,TCGA-DF-A2KZ-01,TCGA-DF-A2L0-01,TCGA-DI-A1BU-01,TCGA-DI-A2QT-01,TCGA-DI-A2QY-01,TCGA-E6-A2P8-01,TCGA-E6-A2P9-01,TCGA-EO-A1Y7-01,TCGA-EO-A22U-01,TCGA-EO-A22X-01,TCGA-EO-A22Y-01,TCGA-EO-A3AU-01,TCGA-EO-A3AV-01,TCGA-EO-A3AY-01,TCGA-EO-A3AZ-01,TCGA-EO-A3B0-01,TCGA-EO-A3B1-01,TCGA-EO-A3KU-01,TCGA-EO-A3KW-01,TCGA-EO-A3KX-01,TCGA-EO-A3L0-01,TCGA-EY-A1GL-01,TCGA-EY-A1GO-01,TCGA-EY-A1GP-01,TCGA-EY-A1GX-01,TCGA-EY-A210-01,TCGA-EY-A2ON-01,TCGA-EY-A2OO-01,TCGA-EY-A2OP-01,TCGA-EY-A2OQ-01,TCGA-EY-A3L3-01,TCGA-EY-A3QX-01,TCGA-FI-A2EY-01,TCGA-FI-A3PX-01,TCGA-H5-A2HR-01,TCGA-K6-A3WQ-01,TCGA-KP-A3VZ-01,TCGA-KP-A3W0-01,TCGA-KP-A3W1-01,TCGA-KP-A3W3-01,TCGA-KP-A3W4-01
EDA,1.9859,-1.3183,2.8602,0.9343,0.9568,-3.816,1.9822,2.7889,2.8034,0.8246,2.0878,-0.1828,2.0878,-0.9971,0.1388,2.1476,0.6517,0.8805,-0.9406,1.6327,-0.0425,-0.7588,1.5415,0.0854,1.2696,0.3796,1.614,0.9935,1.1833,0.0854,1.4065,0.1124,2.0111,3.831,0.346,2.3677,2.7721,2.4544,0.7407,0.5568,1.4962,0.4447,2.6185,0.252172368895,-0.118714574762,2.36347182396,0.9268,1.78494168072,0.8568,-0.8084,0.547,2.0465,1.5902,1.9786,0.4967,1.9452,-3.6259,0.4016,1.2147,1.9527,0.6239,1.6466,2.6348,0.3685,1.9712,1.6093,-1.0862,1.2636,3.8739,1.1833,-3.816,1.3225,-1.3183,0.9419,-0.6416,1.1382,1.125,1.0711,2.8096,-0.2671,-3.6259,2.5137,3.2526,1.1382,1.6964,1.3791,1.4756,-0.3201,2.1734,1.5266,0.1124,2.0535,-1.7322,2.8158,1.5661,3.0671,3.3619,2.1798,1.5465
EDA2R,-3.1714,-3.0469,-0.5543,-4.2934,-0.5332,-3.816,-4.035,-0.1993,-1.8836,-2.7274,-1.5522,0.7146,-0.6193,-3.458,-1.1488,-1.5522,-1.1488,-0.5125,-4.2934,-0.0425,1.177,0.1257,-5.5735,-5.5735,-3.1714,-3.816,-1.5105,-0.2498,-0.4921,-1.7322,-1.8836,-3.1714,-2.2447,1.7185,-1.0559,1.6374,-2.0529,-2.5479,-0.6873,-1.0862,-1.3921,0.8246,-1.8314,0.345930605275,-1.21423106078,-0.65289803076,-5.5735,0.740695695138,-9.9658,-2.3147,-0.5973,1.5366,0.058,-1.9942,-0.9406,0.5859,-0.9686,-0.6416,-2.8262,-9.9658,-3.1714,-3.3076,-1.5951,-3.3076,-3.816,-2.4659,-0.8339,0.7748,0.6517,-3.1714,-3.6259,-1.2828,-5.5735,-0.5125,-1.3921,-1.3548,-2.3147,-2.8262,-2.5479,-0.7588,-2.3147,0.03,-4.2934,0.9642,-2.8262,-0.3383,-5.0116,-0.9132,-0.8084,-2.9324,-5.5735,-1.1488,-4.6082,-1.4699,-3.3076,-1.7809,-2.6349,-1.5105,-0.1031
EDAR,-0.4131,-2.0529,-0.3383,-1.0262,-6.5064,-1.1811,-3.6259,-1.3921,-5.0116,-6.5064,-0.4521,5.4893,-4.6082,-5.0116,-5.0116,-6.5064,-1.6394,-1.5105,-9.9658,3.3633,-2.114,0.2029,-9.9658,-6.5064,-2.8262,-6.5064,-3.458,-6.5064,-0.8599,-5.5735,-2.2447,-3.1714,-1.8314,0.2881,-5.5735,-5.0116,-2.3884,-1.1811,-3.458,-2.0529,-4.2934,-3.458,-2.6349,0.832670122756,1.15444927011,-1.61709335198,0.3346,1.51144825321,-9.9658,-2.3884,-4.6082,-4.035,-1.2481,-2.9324,-2.5479,-2.8262,-9.9658,-3.3076,-9.9658,-9.9658,-4.2934,-0.5543,-2.2447,-3.6259,-2.1779,-6.5064,-0.9132,0.605,-2.0529,1.2636,-3.3076,-5.0116,-0.2159,0.1903,-3.816,0.0854,-6.5064,-1.8836,-4.6082,3.9974,-0.3566,3.3119,-5.0116,-3.458,-4.035,0.2998,-2.114,0.517,-1.2828,-3.458,-1.0559,-4.035,-9.9658,-2.8262,-0.4325,-2.2447,-1.0862,-3.0469,-1.3548
EDARADD,2.5996,0.0854,0.9493,0.044,-2.9324,-2.4659,-0.9971,1.0363,2.0004,1.0847,0.044,-1.5522,-0.3383,2.4883,3.5669,2.9674,-1.2828,2.7972,0.3573,2.5707,0.8647,-1.0559,1.3791,-0.8084,0.099,1.816,2.4252,-0.4325,-6.5064,-0.1993,-1.2828,-0.1031,-2.3884,-3.1714,0.7748,-1.5522,-0.3201,-2.8262,0.9115,1.6649,-2.3147,-1.9379,-1.9942,-1.75634223697,-1.68500333684,0.522086547065,-3.458,0.791612927708,-3.816,-2.1779,-2.6349,-4.6082,2.2206,3.7518,-1.5951,-2.114,1.4441,-3.3076,-0.9971,1.9302,2.1734,-2.5479,-2.5479,1.0363,0.7321,-3.3076,-3.1714,0.2154,-2.6349,-0.7108,-1.3921,-1.2481,0.1776,-1.7322,-0.2328,-5.0116,2.3423,-2.6349,-0.9686,-6.5064,2.0183,2.004,-6.5064,3.2526,-4.035,0.3231,1.2333,-1.9379,-2.5479,-2.6349,-6.5064,-3.458,0.4016,0.6699,1.5998,2.6232,-1.8314,-3.816,-0.7834
EDN1,3.4007,-0.2498,5.5113,-1.1811,4.6894,1.8996,1.4962,3.0876,1.6045,2.4908,0.9716,3.1245,1.6327,1.4228,2.5876,0.8647,3.1588,1.9188,-0.7588,1.0293,0.6425,1.2147,-0.4131,0.8961,1.7702,-1.9379,1.9034,-0.4131,1.7229,1.125,2.6418,1.0363,1.177,3.5174,1.5806,2.5137,1.7009,1.177,1.6187,4.4135,1.9034,3.4504,-0.3201,1.83837871833,2.30042619626,0.13884689732,1.125,2.82701175873,0.2277,-0.3383,0.4552,2.5536,1.2815,1.3454,1.8444,2.9413,-1.3183,1.8484,0.7832,-1.9379,0.3115,0.1124,3.3393,3.6301,1.2085,-0.5756,0.8568,2.1213,1.5415,1.1184,2.5948,1.7702,0.5763,-1.5105,2.8096,2.376,0.6969,3.3407,1.2271,2.1247,1.0151,1.642,0.6517,0.7999,2.2813,1.6187,0.537,0.3796,0.099,2.6984,1.6045,2.6693,-2.114,3.3134,0.9716,2.8701,1.0363,2.6624,3.3061
EDN2,1.7403,1.0503,3.6793,1.2394,6.7736,3.2282,2.1378,3.3619,3.091,4.1302,1.4911,0.5568,1.9859,-0.6416,1.642,-0.0425,0.1388,4.2103,3.0706,0.9716,1.4962,0.4447,-4.035,0.9568,1.0983,-9.9658,2.8955,2.7551,2.8178,1.8996,3.0074,5.2869,1.7954,3.3993,1.2085,4.0348,2.108,1.5316,3.4583,3.3759,0.2762,2.9013,1.9149,1.58785576603,-0.432468817783,-2.42664463315,5.235,-1.16492576153,-0.7108,-1.8836,0.5859,3.0038,3.8501,1.4228,3.7635,5.3209,-0.1504,1.9749,-0.9971,0.03,-0.3752,2.2019,5.0041,-0.1187,1.6093,2.2237,2.971,2.4359,3.7614,2.3337,4.5784,6.1904,-1.8314,-1.7322,3.1829,1.0642,-0.394,4.5479,0.9789,1.3846,-9.9658,-1.2828,0.0854,3.0893,1.8078,1.0433,3.3307,0.517,0.547,-0.1828,2.9375,2.7205,-0.2498,4.3104,3.6077,2.3479,-1.685,-0.3752,0.1124
EDN3,4.0357,-9.9658,-1.7809,-0.3566,-9.9658,-9.9658,-9.9658,-0.4719,-3.816,-0.9971,-0.4521,-6.5064,3.0602,-9.9658,1.0007,-4.2934,2.1541,-4.035,-6.5064,-9.9658,-0.8339,-5.5735,-3.816,-9.9658,-4.035,9.4871,-1.7322,-9.9658,-5.0116,-9.9658,-0.5125,-5.5735,-0.6416,1.2934,-3.6259,-9.9658,3.2885,1.1577,3.1939,-0.5756,2.2633,-3.6259,0.6969,-0.384550899434,-9.9658,-0.522838360297,-4.6082,-2.98851158833,-2.6349,5.3144,1.5514,-5.5735,4.4404,-5.0116,2.05,-2.114,-9.9658,-3.6259,-9.9658,-2.7274,-3.816,-1.2142,0.688,-9.9658,-9.9658,-3.816,3.9204,-5.0116,6.4835,0.4016,-9.9658,-2.6349,-9.9658,-1.1172,-2.9324,3.4504,-1.4699,3.3435,-4.6082,5.2238,5.3027,7.3651,-2.2447,-1.5105,-9.9658,-0.1187,-9.9658,-0.7108,2.5634,-5.5735,-5.5735,-9.9658,-3.458,-2.2447,-5.5735,-2.8262,-5.5735,3.0706,1.4065
EDNRA,3.3492,-0.5973,2.0004,-1.1172,1.0079,0.9038,1.4547,2.4008,0.7748,-0.6873,1.3283,1.9452,0.4761,2.0878,1.949,2.6783,3.3379,0.2277,-1.0559,-0.9686,1.2696,0.4125,-0.7108,-0.5756,1.6649,4.4861,3.1733,-2.3147,0.679,-0.4921,0.2998,1.1706,1.1382,-0.1504,0.2881,-0.0725,1.5316,1.5165,-0.2845,1.4547,2.4225,1.0222,2.3871,2.46625743639,2.26481751094,2.68502575202,0.1903,4.78927034722,-0.1828,2.8994,-0.6416,0.4016,-0.8863,-0.3022,1.9968,1.1706,-0.9132,-1.1172,0.9935,-1.0262,2.1013,-1.0559,0.8568,1.1833,-0.2328,-1.1811,0.1776,1.5661,1.2696,2.296,0.5568,0.2762,0.5568,1.5806,1.9302,1.6512,0.1257,0.6517,1.5266,0.5763,0.346,2.1345,-3.1714,0.4967,0.1257,0.8883,-0.6416,0.9935,0.4657,1.5366,-0.8339,0.044,-1.5105,1.6093,-1.3921,0.8805,1.412,1.8078,2.6805
EDNRB,2.1378,-0.6873,0.7146,-1.9942,-1.685,-1.9942,-0.3752,-2.4659,-2.4659,-1.7322,-0.3752,0.0158,-0.1504,-0.3383,-0.7834,-1.5951,3.5047,-2.3147,-3.816,-1.3183,-0.4131,-1.3183,0.9191,-1.1811,-0.2328,0.0014,0.6145,-3.1714,-1.9942,0.3685,-2.1779,-2.3884,0.6517,-1.1172,-2.0529,-3.6259,0.03,-0.5332,-0.8599,-1.9942,-0.1187,-1.5522,-0.7346,1.68525130125,1.28749995175,0.727712056383,0.1903,0.860792897385,-1.2481,1.2576,-2.9324,-0.7588,-0.4719,-3.1714,-1.3183,-1.3183,-2.3147,-3.3076,-1.1488,-2.2447,-1.685,-1.9942,-3.1714,-0.5125,-1.2828,-2.9324,-1.685,-0.1504,-0.013,0.5763,-0.8339,-4.6082,-2.114,-1.0862,-0.6416,0.9038,-0.2328,2.4332,-1.9942,1.0847,0.1648,-0.1345,0.044,-2.0529,-0.3201,1.2085,-0.8863,1.1833,-0.1345,-0.5973,-4.6082,-0.2845,-0.5125,-2.1779,0.03,-1.6394,-0.6643,-0.0277,-0.0574
EEF2,9.5514,9.8424,9.0636,10.8031,9.8031,8.4349,8.3831,8.9725,8.2813,9.866,9.1403,9.6502,10.5549,10.2095,9.7042,10.2298,10.7947,9.3094,8.8968,10.0353,9.6901,10.916,8.9682,11.541,9.8236,8.5224,8.8533,11.2084,10.9276,9.3569,9.5584,9.8857,8.8549,9.983,9.547,10.944,10.0849,9.2796,9.4588,9.2293,9.7388,10.034,10.1361,9.65915026464,7.7898512384,8.3095531559,10.0747,8.53855692441,13.1243,12.7507,10.448,9.5626,9.0051,9.6647,9.1187,9.3242,11.0313,11.3731,10.7247,12.2971,9.9968,9.8399,9.9349,10.4152,10.0003,11.337,9.8101,10.6088,10.4314,9.7862,9.7443,10.6657,11.6173,10.2548,9.7146,8.9109,9.2231,10.1315,9.9198,10.2555,10.1795,8.8139,9.9246,10.9989,9.2521,10.0207,10.4172,11.1296,9.4555,8.6521,10.8218,8.0722,10.6342,10.002,9.3909,9.1228,8.57,9.3625,9.4525
EEF2K,2.2693,1.2394,2.676,2.1862,2.9319,2.5388,3.0654,2.4144,3.2915,2.9109,2.9186,1.6374,2.8482,3.0498,3.0145,2.6138,3.2251,2.9262,1.8078,2.5363,2.874,1.9527,3.3464,2.727,2.1894,1.4065,2.8641,1.9188,2.8381,4.0619,3.3336,2.9984,3.833,3.2251,2.5112,3.2374,2.2783,2.8341,3.0181,2.4144,3.3407,2.9224,2.3816,4.24267697413,1.8917772784,3.69388069308,1.9226,3.41363104021,0.8961,-0.0425,3.4411,2.3019,1.6187,2.7487,2.9875,3.1079,1.8036,2.8482,1.4441,1.4011,2.409,2.5313,1.642,2.296,3.0498,2.651,2.7657,2.0742,2.8994,2.3732,2.77,1.8404,0.4016,3.154,2.1147,2.791,3.7324,2.7931,2.6019,1.1897,1.7053,2.0673,2.5828,0.4761,3.1876,2.9338,2.7679,2.8178,1.7786,2.6208,1.9415,3.0757,1.949,2.1734,2.2633,2.328,2.6738,2.5213,2.3164
EFCAB7,1.8879,-0.9406,2.1766,1.2209,1.5758,1.8323,0.2642,1.6964,2.1313,2.1213,1.9034,1.736,1.3956,1.8762,2.4171,1.9452,1.6093,3.0127,0.5271,2.1345,2.2144,1.5216,1.3225,2.0076,1.0222,2.5313,1.0503,-1.1488,1.5806,2.2082,1.7053,1.2875,2.4252,1.1641,1.9931,2.0147,1.0222,1.7273,1.6695,2.4701,2.4386,2.0395,1.8801,3.4450966911,2.02359095217,3.65262518687,1.3735,3.21967597526,-3.458,-1.9942,0.5666,1.1117,2.3508,1.736,2.9747,2.1509,1.2394,1.2394,0.9862,-0.1665,2.0218,1.4441,1.2209,1.2023,2.5876,1.4704,2.128,1.6374,2.3816,1.7403,0.9191,-0.5125,-2.4659,1.8564,1.3397,2.05,1.9527,2.1702,1.2756,0.7579,1.5064,1.0573,1.736,1.4174,2.4518,2.1606,1.0983,2.1114,3.2885,2.6715,0.3231,2.1925,1.2815,0.8408,2.1345,1.3623,0.6969,2.0776,2.8076
EFNA1,5.8741,4.4673,7.5395,5.0072,6.1054,5.0926,7.8608,6.8627,7.1836,5.7514,6.1863,5.8146,5.2582,6.1365,5.7679,6.7234,5.5546,6.7018,6.3752,6.2436,4.4377,5.7621,5.3754,5.9964,7.4044,4.7991,4.9924,7.0143,5.3147,4.6742,6.0148,7.9211,5.6597,5.8709,5.2858,5.404,3.6136,6.0713,6.3502,5.8235,5.1202,7.0417,4.523,5.36392178722,5.03217697834,5.65252619482,8.5866,5.23115900302,6.8372,4.95,4.5411,7.0724,5.8568,7.4487,6.2651,5.8738,3.8719,7.2428,6.7116,4.215,6.4385,7.0536,6.1008,4.8575,6.3427,5.9889,5.3096,4.3184,7.786,6.6888,6.4979,5.1486,4.7709,4.359,6.3473,7.3207,7.0206,5.4373,5.6907,5.5883,7.1448,6.7618,5.7719,5.597,7.0802,6.6826,6.7762,6.8513,5.0989,5.434,7.0173,6.1349,4.7247,6.2897,4.9132,7.4179,7.1492,6.5242,5.0527
EFNA2,0.9343,-2.2447,-5.0116,-9.9658,-9.9658,-9.9658,-0.3752,-2.114,-9.9658,-9.9658,-9.9658,-2.5479,-2.3884,-9.9658,1.9226,1.4335,-9.9658,2.6395,-9.9658,-5.5735,-1.685,-9.9658,-1.4699,-5.0116,-9.9658,2.667,-2.5479,-9.9658,-9.9658,-2.8262,-5.5735,1.1641,-9.9658,0.4016,-3.3076,-2.9324,-9.9658,-5.0116,-9.9658,-3.6259,-3.458,-5.5735,-9.9658,-4.4422327424,-9.9658,-4.7958228525,-9.9658,-1.75634660976,-4.2934,-9.9658,-0.5125,-3.6259,-1.0862,-9.9658,-2.8262,0.6239,-9.9658,-9.9658,-9.9658,-9.9658,-4.6082,-5.0116,-9.9658,-1.6394,-9.9658,-3.458,-5.0116,-9.9658,-3.3076,-4.035,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-9.9658,-4.6082,0.3907,-0.2159,-2.2447,-3.3076,-2.2447,-5.5735,0.6332,-9.9658,-1.3921,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.2934,-9.9658,0.2998,-0.3752,-9.9658,-5.5735
EFNA3,4.4135,1.125,2.3981,4.5066,2.036,1.3791,3.421,3.9719,5.4851,2.8955,4.538,2.4934,1.2394,2.3564,3.8481,1.9968,2.4359,5.0807,3.0393,3.2885,2.8701,2.667,4.2503,3.0654,3.6669,5.2415,2.77,4.3625,2.328,4.01,3.1685,5.2273,3.7464,2.9729,2.2113,1.736,1.0847,3.162,3.5742,3.5187,1.2209,2.9013,5.6826,1.25156814091,0.852761381837,0.407109008119,2.9243,2.63254028012,2.1047,1.9302,2.4597,2.2513,2.3048,3.668,2.1247,2.3871,2.685,2.8137,3.1892,1.5465,3.6125,1.7995,4.0627,3.7561,2.876,3.0961,2.5213,2.3251,5.0335,4.8851,1.4911,0.5955,2.3788,2.6395,2.036,3.3745,1.934,3.6961,1.5563,5.4797,5.7228,5.6815,6.1318,3.4061,2.2019,3.7127,4.8694,3.0944,4.9686,1.105,3.2885,3.8944,1.2992,4.2616,3.3119,3.2205,0.3685,4.7945,1.196
EFNA4,4.8837,3.4451,4.1875,6.2267,5.6171,4.2936,4.8585,5.3202,6.4665,5.0845,4.8324,3.4291,4.5217,4.4823,5.3205,4.5814,3.5399,6.3309,3.9089,5.5305,4.5053,3.8013,3.1062,4.1252,4.2855,5.5577,4.774,5.5717,3.9819,5.0696,5.5847,4.8675,4.5167,4.1409,4.1724,4.5436,3.4674,5.3392,4.5255,5.1081,4.2327,6.0501,5.0023,2.76471204478,2.0911920479,2.2886760323,5.8973,4.06659010997,4.3958,3.9356,3.772,5.839,4.8248,5.1799,4.0867,3.867,5.0909,5.5283,6.0119,5.0601,4.7913,4.1269,5.5898,3.9346,6.1669,4.3456,3.7783,5.2506,6.0407,4.848,4.166,5.1334,5.0657,4.8197,4.8022,3.3703,4.2111,5.1989,4.7104,5.3941,5.9435,6.871,5.0268,4.4983,4.0807,6.0142,5.4413,4.673,5.5336,3.9185,4.0833,5.4219,3.5009,5.3356,4.8375,5.2593,3.5982,5.4989,4.3349
EFNA5,1.766,-2.4659,3.4997,-3.3076,2.2513,2.2753,3.4687,2.2019,2.1638,0.6517,2.0979,3.4778,-0.2845,2.299,1.6649,1.2696,0.2762,3.5009,3.0463,1.9931,5.6139,2.2452,-2.8262,0.0158,2.8974,-1.4305,-0.4521,2.6019,3.7992,0.1648,0.7233,4.504,0.058,-0.4325,2.0218,0.9935,-1.8836,-0.2498,1.8524,1.2516,0.9038,0.2762,2.1988,2.15576045942,4.32270640814,1.73593983589,2.676,2.08268467803,2.7487,1.8078,3.9251,1.2455,2.7951,-0.5125,0.8568,-3.816,-1.5951,2.0742,0.346,-0.3383,2.0776,2.7465,0.1388,3.1145,1.4388,0.4016,-0.7834,1.2992,0.9862,2.2051,2.7314,1.0503,0.679,1.5514,0.1388,1.9111,2.6302,1.7185,1.0222,-3.1714,1.8282,0.3796,0.434,0.4233,3.3938,1.3679,1.5115,0.8327,-0.0725,1.7786,1.614,-4.2934,0.7321,0.9115,2.167,0.7146,2.4279,-0.7108,1.6785
EGF,-2.6349,-5.5735,-1.1811,-9.9658,-5.5735,0.688,0.4865,-2.8262,-1.4305,-1.5951,0.3346,-3.1714,-3.816,-0.1345,-3.458,-2.3884,-4.035,-1.6394,-9.9658,-0.2498,-5.0116,-3.816,-3.458,2.3592,0.5271,-9.9658,-1.8836,-1.0862,-9.9658,-0.5973,-2.1779,-1.6394,-1.1488,-3.816,1.3735,-2.9324,-2.0529,-2.0529,-2.9324,-1.7322,1.7744,0.6332,-3.6259,-0.846846922306,0.481304337458,2.45970175761,-0.6643,-0.394025548136,-4.2934,-9.9658,-4.2934,0.7493,0.0854,-1.5522,-3.1714,-1.2481,-9.9658,-2.7274,-3.0469,-9.9658,-1.7809,-3.3076,-3.816,-5.5735,-1.7322,1.2636,-6.5064,-9.9658,-1.8314,-3.1714,-9.9658,-0.8599,-9.9658,-5.5735,-5.5735,-3.458,0.9862,-2.1779,-2.1779,-2.9324,-4.2934,-2.1779,-6.5064,-1.0862,-1.3548,1.7185,-2.6349,-3.0469,-2.6349,1.46,-6.5064,-2.3147,-9.9658,-1.3183,-3.458,-4.6082,-3.1714,-3.6259,-0.2498
EGFR,1.8484,0.5859,2.4518,-0.2845,2.4412,2.0776,2.9338,4.5311,3.7226,1.9034,0.4447,3.0163,0.5859,2.0742,3.668,1.7009,1.4441,3.7335,2.874,2.0395,3.7367,1.7489,2.5163,2.0111,0.1124,-4.6082,0.679,0.2029,2.1313,1.7009,3.325,1.9749,1.5902,2.3816,1.8879,1.2085,2.1638,1.934,2.2693,1.9302,1.3956,3.755,2.2543,4.51161705326,7.1025472576,1.15442012592,2.2299,4.03306573078,-0.9132,0.8883,0.9268,2.9186,2.0604,0.9568,2.4805,1.8957,-3.458,1.8996,1.3679,-2.1779,1.2756,-1.1488,2.1606,2.8897,3.0688,-0.0725,0.8082,1.1577,1.3956,3.3521,2.7721,0.6699,1.4335,-1.0862,2.299,0.8568,0.8805,2.5437,2.1213,2.6556,1.1512,1.0293,3.2572,1.9377,1.3567,1.4547,1.6964,2.2723,-0.7108,2.1734,0.6517,0.3346,-1.1488,3.1829,1.0983,3.6748,1.4756,1.5854,2.6255
EGLN1,3.3148,2.4332,3.4583,1.7009,2.4727,3.5022,5.1696,3.5136,3.9289,2.6624,2.824,3.4687,1.8918,3.6006,3.6771,3.2158,2.1509,4.3104,2.8582,3.5923,3.8611,2.4675,2.8442,2.3308,2.4623,3.9992,2.6232,3.6359,2.8955,4.1327,3.2973,4.5892,3.29,4.5047,3.4504,3.2496,3.0002,2.5756,4.2661,3.4648,2.3135,4.7835,4.162,4.41416696514,4.8166587498,5.33487198975,3.958,4.83901375409,1.3109,0.8246,3.2343,4.2274,2.561,3.9515,3.3869,3.3952,2.5087,2.2872,3.2929,1.2696,3.0038,3.0038,2.4225,3.7752,3.9965,2.9469,3.1765,2.3508,3.5324,3.8002,3.0252,1.7489,1.8564,3.8541,2.9637,3.7226,3.3206,3.3773,2.2391,3.3061,3.2915,4.7819,3.6301,2.96,3.1179,4.2877,4.9556,3.6691,3.0252,2.6895,1.2636,4.1086,1.8201,3.4945,3.1844,3.8759,3.0145,3.9636,3.3856
EGLN2,6.3299,6.3118,6.0211,7.7851,6.2514,5.7735,6.1469,5.9928,5.2506,7.2455,6.516,5.5085,6.5116,5.6708,5.114,5.7239,6.1167,5.4928,6.8342,5.4575,5.9896,5.6191,7.1732,5.1926,6.1609,5.523,6.574,7.4515,6.0928,6.1771,6.1192,5.3363,5.6885,5.3107,6.0038,5.496,6.029,7.2234,6.121,5.9656,6.1887,5.3851,5.6404,4.21345218087,4.57383403765,4.2854851091,5.0175,5.08838449523,8.0684,7.7417,6.1445,5.8278,6.9344,6.0618,5.288,5.8359,7.9615,7.2305,6.3505,8.1965,6.3916,5.6557,7.0836,5.9984,5.347,6.7197,5.7994,6.0288,5.3593,5.2204,6.6952,7.5916,9.4911,6.312,6.1428,5.0519,5.7121,5.7299,6.4303,5.0277,6.1117,5.9545,5.8814,5.3498,5.6795,5.9955,5.6085,5.7793,5.0653,5.6279,6.3486,5.91,7.5248,5.5735,4.9942,5.4293,6.1035,6.6973,5.9203
EGLN3,2.9338,1.9302,3.3619,6.1583,3.5706,6.5671,6.5967,3.9393,5.1587,5.2036,4.1482,4.0523,4.5976,5.5644,6.3163,4.8744,3.9691,6.1801,2.1894,4.2884,1.3511,1.8879,3.0688,6.7354,5.1591,-1.1488,5.2262,5.4552,2.8482,3.7215,4.9369,6.1025,4.2335,5.1019,6.3047,5.6571,7.386,4.3751,6.9226,4.0082,5.7656,5.6085,6.1065,6.42052372323,2.10803753754,5.81249723617,4.6577,4.20797641433,4.5299,2.6232,2.5137,6.4152,4.6719,6.1502,3.705,6.3257,2.5087,5.9213,6.5835,4.6189,2.7805,3.5596,5.5407,3.7794,4.5448,5.2713,4.7945,5.4496,6.0281,4.6047,5.9484,5.4047,2.0604,3.9829,5.5018,4.0952,5.6614,4.8012,5.8508,5.7562,2.4225,3.6148,5.4479,-0.1031,4.208,5.1347,2.7161,4.2181,2.5972,4.3702,1.4547,2.5828,1.692,4.5305,1.8683,4.3903,2.8096,4.2601,4.4764
EGR1,3.8719,3.2049,9.0189,2.2783,7.5372,4.2781,5.9871,6.0481,5.1404,5.5675,6.2647,6.2739,3.0842,3.83,6.0796,4.1571,3.3336,8.1931,3.2481,5.9343,4.9915,7.1252,3.4609,4.865,4.6815,0.2154,4.1852,3.7486,2.7508,3.1781,3.8075,5.8012,5.7653,6.7094,5.7968,4.9331,5.4715,3.0602,3.9719,7.9792,4.9607,6.2841,3.9232,3.75606066197,5.58620545886,2.23756902922,5.7266,4.83496789815,5.4575,6.2599,5.101,8.2761,4.2335,3.9185,6.414,5.3858,2.233,4.6679,4.9846,0.3231,5.1732,4.1277,5.2593,5.5107,2.578,4.3299,5.3733,5.7088,3.6289,8.2394,6.2426,4.061,2.8622,3.3591,4.4732,7.5863,4.812,7.13,5.7568,4.7866,5.3622,3.8915,3.38,6.607,4.2235,5.4189,4.0427,6.5056,2.4857,3.3003,3.0533,4.2892,3.2065,5.4519,7.1407,6.5458,4.309,3.2885,8.2364
