gene_name,TCGA-OR-A5J2-01,TCGA-OR-A5J3-01,TCGA-OR-A5J6-01,TCGA-OR-A5J7-01,TCGA-OR-A5J8-01,TCGA-OR-A5J9-01,TCGA-OR-A5JA-01,TCGA-OR-A5JP-01,TCGA-OR-A5JR-01,TCGA-OR-A5JS-01,TCGA-OR-A5JT-01,TCGA-OR-A5JV-01,TCGA-OR-A5JW-01,TCGA-OR-A5JY-01,TCGA-OR-A5JZ-01,TCGA-OR-A5K0-01,TCGA-OR-A5K1-01,TCGA-OR-A5K3-01,TCGA-OR-A5K4-01,TCGA-OR-A5K5-01,TCGA-OR-A5K6-01,TCGA-OR-A5K8-01,TCGA-OR-A5KO-01,TCGA-OR-A5KU-01,TCGA-OR-A5KW-01,TCGA-OR-A5KX-01,TCGA-OR-A5KY-01,TCGA-OR-A5KZ-01,TCGA-OR-A5LD-01,TCGA-OR-A5LG-01,TCGA-OR-A5LH-01,TCGA-OR-A5LJ-01,TCGA-OR-A5LK-01,TCGA-OR-A5LL-01,TCGA-OR-A5LM-01,TCGA-OR-A5LN-01,TCGA-OR-A5LO-01,TCGA-OR-A5LP-01,TCGA-OR-A5LS-01,TCGA-OR-A5LT-01,TCGA-OU-A5PI-01,TCGA-PA-A5YG-01,TCGA-PK-A5H8-01,TCGA-PK-A5H9-01,TCGA-PK-A5HA-01
EDNRB,3.47,1.177,2.7679,3.1924,3.6509,4.4317,1.6558,2.6255,1.816,4.4523,2.4171,2.1606,2.1988,5.07,0.5859,5.1182,1.0779,-0.3752,0.537,2.496,2.9205,0.3115,2.4857,2.0604,1.6785,1.8363,2.3816,4.0348,0.4761,3.2496,2.971,3.0287,1.9149,2.1734,2.3649,1.4547,1.2815,2.4675,4.1211,0.3796,3.6428,1.8363,1.9188,2.7292,0.8408
EEF2,9.6954,10.713,8.8537,10.4811,8.8723,9.9688,9.4903,10.7575,9.2059,9.3012,8.8449,7.84,9.7129,8.7612,9.2915,9.983,8.8114,8.9883,9.1864,10.3825,9.5056,9.8062,9.1683,9.2819,9.6093,9.7574,10.102,9.9199,11.2094,9.4549,8.317,9.8983,9.921,8.7999,8.9271,9.1098,10.8116,10.1265,9.3733,8.4887,8.2298,10.0472,10.3931,8.8559,9.804
EEF2K,1.9786,3.9137,1.0573,2.4035,2.0254,1.9859,3.2511,0.7058,3.5086,2.5756,3.0393,2.9281,3.3856,0.9419,2.8199,2.4386,2.7465,2.4831,3.4156,1.4652,1.949,2.8542,3.6804,3.3407,3.2973,3.3993,2.7073,2.8422,1.2815,2.6984,1.7053,2.043,1.9895,1.8119,3.3206,0.8082,3.8085,3.2343,3.8471,2.7636,2.8117,2.9032,2.8502,2.1444,1.9073
EFCAB7,0.099,0.2998,1.3735,1.2455,0.605,1.2023,0.688,0.3796,2.5634,1.2696,1.7995,2.0395,1.7185,1.6374,2.7721,-0.0877,2.0776,1.4281,2.4649,0.1776,0.9038,0.7916,1.7489,1.2992,1.4441,1.1897,1.2085,1.3109,-0.3201,0.9862,1.6281,0.6969,-0.1504,-0.2159,0.8647,1.1577,1.4494,1.5465,1.8879,2.1925,1.6281,1.105,1.7097,1.6558,0.679
EFNA1,5.1198,4.5802,3.4778,4.1069,3.6737,6.434,3.1327,3.7083,3.0002,5.7709,2.4225,4.8375,5.3851,2.8858,2.1345,4.4397,3.836,2.1509,1.595,4.795,4.6628,4.7176,4.6662,3.8571,4.0198,6.5738,5.1989,5.2373,3.6054,6.1989,4.6781,4.7777,5.3096,4.7323,3.4451,4.6623,5.5479,5.0644,4.8243,3.0978,6.0609,5.2548,2.8158,6.8834,5.3685
EFNA2,-1.9379,-3.6259,-4.2934,-1.5522,0.1124,-0.8339,-1.7322,-0.5756,-2.7274,-2.9324,-3.816,-9.9658,-1.9379,0.7321,-3.816,-3.816,-1.6394,-4.6082,0.7321,1.5165,-5.0116,-0.5543,2.5683,-4.6082,-3.6259,-1.0862,-1.5522,2.59,-1.2828,-9.9658,-1.4699,-0.8863,-9.9658,-9.9658,-9.9658,-4.035,0.3346,-5.5735,-0.0277,-2.3147,-3.3076,-9.9658,-2.2447,-0.3566,-3.816
EFNA3,3.3017,4.0242,0.1257,3.1228,1.8282,5.5874,4.061,3.5324,-0.0277,6.0719,2.0776,0.7321,2.8381,4.6999,1.9073,6.4092,0.5859,1.595,1.9111,6.8947,5.7856,3.8421,4.538,5.4519,2.6114,5.7068,5.0743,2.4252,3.8461,4.6462,2.108,4.8739,0.8805,5.4637,2.7249,-0.1828,2.8838,1.8036,4.2691,4.8309,3.7846,-0.5332,0.8883,0.3115,1.8323
EFNA4,3.6566,3.3647,2.3843,4.613,3.4424,3.9421,4.0918,3.453,2.5188,5.9656,3.345,2.3926,4.1939,4.3177,2.5561,5.6062,3.4251,0.6608,3.0002,6.4084,5.2597,3.8993,4.8334,5.2304,2.9581,6.2934,4.222,3.7614,1.8036,4.9421,4.6588,4.5886,3.0127,5.8197,3.4504,1.5216,4.2366,3.1212,4.034,4.2001,4.673,2.5658,3.3787,3.5584,3.5473
EFNA5,-0.9971,-1.5105,-9.9658,-6.5064,1.4281,-0.1504,-3.1714,1.9415,0.1519,3.6771,1.5366,-3.6259,-2.6349,-2.7274,0.6699,-4.6082,-3.816,-3.816,1.8282,-0.8084,-1.5105,-3.1714,0.6332,2.8381,-1.3548,-4.2934,0.6332,1.5514,2.1114,-2.7274,-1.0262,-0.9406,-1.0262,-2.8262,-2.4659,-2.5479,-3.458,-1.8314,-0.1504,1.7403,1.3454,-5.5735,-2.8262,-3.3076,-2.4659
EGF,-1.6394,-1.2481,-2.3884,-4.6082,0.2522,-1.5522,-0.6643,-2.8262,0.7664,-1.6394,1.4652,0.1903,0.537,0.8568,-1.9942,1.2992,-1.6394,-3.1714,-0.1828,-4.2934,-2.9324,-1.3548,-1.3183,-1.5522,0.9268,-3.816,-3.816,-9.9658,-5.0116,-2.6349,3.1924,-9.9658,0.0718,-0.3022,0.9343,-2.5479,0.4125,-1.2142,0.0014,-1.4305,1.2756,-1.1811,-1.6394,-4.6082,-0.3383
EGFR,0.1519,3.2973,2.8779,2.7379,2.7889,1.5216,3.6136,0.3573,2.5462,1.9073,0.9568,0.679,4.5199,-0.3201,1.2576,-0.1504,0.5666,0.6425,0.688,1.5165,0.8164,2.3732,2.9071,-0.1031,3.8177,2.3953,1.9149,2.0776,-1.2828,1.6466,2.1541,1.5415,0.679,4.2556,2.3251,0.7579,3.7061,3.7752,3.4116,2.0254,3.4726,3.9099,2.6464,0.1776,2.1988
EGLN1,5.1052,4.166,3.4765,3.8876,3.2617,3.5608,3.8064,4.3723,2.9562,4.5596,3.2796,4.3292,4.6177,5.4313,3.5274,4.034,2.7073,2.8219,3.3221,5.1627,4.166,1.7702,3.3061,4.6543,3.8239,3.3633,3.2328,3.9204,2.1378,3.6543,3.1393,2.6208,1.6604,4.5862,3.6983,1.8683,4.3695,3.5994,4.9973,2.7073,3.7226,3.3307,3.2959,4.7033,2.2723
EGLN2,4.8253,5.7978,6.9978,7.2594,5.7498,5.7377,6.5094,6.9582,5.5714,6.1757,6.0951,5.2906,5.7679,5.7369,4.9341,6.4704,5.998,5.9139,5.8664,6.3586,5.527,6.0689,6.1138,5.6534,5.0579,8.2067,6.3411,6.9196,6.0928,7.2106,7.1579,6.2095,6.9035,5.5726,5.7082,5.4542,5.5898,6.0104,5.3484,6.2024,5.6372,5.3562,6.5503,6.2689,5.6384
EGLN3,-2.6349,4.3646,1.105,-3.6259,3.5657,-0.0725,4.2064,0.1388,1.1897,-0.7346,3.287,-3.0469,1.6785,1.9786,3.8905,1.4281,0.0718,3.0842,2.8858,1.9034,-1.2142,-2.114,3.4143,5.1473,3.8993,1.1577,0.4865,2.7826,-3.6259,0.9642,1.7744,-3.1714,0.058,-0.4921,3.4304,-0.6643,4.347,1.4335,-0.8599,3.6042,1.8119,0.4016,2.4252,-3.3076,-3.458
EGR1,4.3604,3.3076,2.6418,5.5647,7.7167,5.9533,5.3975,5.0867,3.9524,5.3356,2.7487,3.483,4.9336,5.498,4.7426,3.3591,3.0944,1.7097,1.949,4.6719,5.6944,5.2529,4.1449,3.0217,3.3061,-1.0559,5.0828,3.1442,-0.394,2.0325,6.1681,1.5013,3.7539,2.7615,2.6325,1.2085,5.1416,5.4074,1.1641,0.2642,5.2323,7.1817,3.8198,6.2455,1.7229
EGR2,0.5666,-1.2828,-2.7274,-0.6643,5.5148,0.9191,-1.4699,-0.7346,0.3115,-0.5756,-1.4699,0.7058,-0.013,-1.8314,-1.2481,-2.8262,-2.3884,-4.035,-3.6259,-1.8314,1.5316,-1.4305,-2.0529,-2.3884,-2.5479,-6.5064,0.0854,-1.3183,-4.6082,-2.7274,1.4388,-2.0529,-0.1828,-2.6349,-2.6349,-1.685,0.1257,0.8408,-4.035,-3.3076,0.3115,3.4609,0.5763,1.105,-1.2142
EGR3,0.5568,0.7407,-2.3884,-1.7322,2.6067,2.5388,0.0718,-2.6349,-0.5973,1.642,-2.9324,1.5661,-1.4305,0.4125,-1.8314,-2.7274,-2.0529,-3.1714,-1.8314,-0.5543,0.8726,-2.8262,-0.4325,-3.458,-0.7834,-5.0116,-0.2498,-0.0277,-3.3076,-2.1779,0.8246,-1.9942,-1.8836,0.0158,-0.5332,-2.3884,0.2881,0.679,-4.2934,-4.2934,-0.4921,1.8801,0.3346,0.9935,-3.458
EHHADH,3.2034,-0.3752,1.7229,2.7073,-0.0277,1.7446,0.9343,-0.1993,2.2268,1.9822,1.5165,2.8838,2.3564,0.6699,1.7786,-2.6349,0.9862,0.1776,1.4808,2.3394,1.7097,-0.9686,2.9544,2.6208,-0.1828,1.4808,-0.3383,1.2992,-0.0574,1.5563,0.8883,1.3901,0.4552,1.1184,1.2394,-0.4131,1.7489,1.6558,4.0392,0.5666,4.1019,2.6984,0.7493,3.8177,-0.1504
EI24,4.9486,4.5922,4.0019,4.4236,4.9865,3.7149,4.5286,4.3335,4.0935,4.677,4.2227,4.6894,3.9166,5.7002,4.2358,4.795,3.958,2.6579,4.7474,5.6818,3.9204,3.3336,4.1506,3.7656,4.5405,4.7856,3.6972,4.3758,3.1458,4.2743,3.9403,4.14,3.0305,4.6972,3.8759,3.0706,4.2366,4.1772,3.8481,3.1011,4.309,4.5454,4.1482,4.9279,3.4907
EIF4B,8.1852,7.0226,6.6408,7.8559,6.0518,7.1173,6.5424,7.2216,7.0307,6.6689,6.8996,7.442,6.9394,7.3908,7.8043,6.7852,6.956,5.7955,7.1467,7.7492,7.2192,5.7525,5.6358,6.4244,6.044,7.2562,7.1128,7.193,5.7137,6.0268,6.7736,7.7092,6.1158,6.1079,6.6363,5.467,8.6016,7.5267,6.7633,5.912,7.0353,7.6004,7.0699,6.1471,7.8112
EIF4E,4.7704,3.9543,4.6491,4.3046,4.048,4.7431,4.9663,4.6742,5.1656,4.5681,4.9819,5.7079,5.3941,4.4836,4.2818,4.327,3.4358,2.1957,5.1551,4.3119,4.5199,2.8897,5.2821,4.8655,5.1388,3.5982,3.9299,5.4673,0.6145,2.6647,5.403,3.5237,2.9581,5.4719,4.1351,2.5363,5.5472,4.0926,5.639,4.1169,5.3806,3.9847,3.0411,5.1942,3.9626
EIF4E1B,-4.2934,-1.0262,-4.035,-3.3076,-9.9658,-6.5064,-2.8262,-4.035,-2.8262,-1.8836,-1.2828,-3.3076,-3.6259,-2.4659,0.5069,-1.8314,-1.8314,-2.1779,-1.5105,-1.3548,-2.0529,-1.0862,-3.458,-1.0559,-1.8314,-4.035,-3.3076,-3.3076,-2.9324,-5.0116,2.578,-4.2934,-0.2845,-5.5735,-0.6873,-3.458,-2.8262,0.4125,-0.3383,-2.3147,-3.816,1.4388,-2.9324,-3.3076,-2.3147
EIF4E2,4.5224,4.7231,5.3223,5.7955,5.865,5.5967,5.3002,6.3466,4.281,4.756,4.314,4.1571,4.6566,5.7957,4.4686,5.7388,4.6508,3.9974,4.6764,7.0297,5.3879,4.2899,5.4152,5.1148,4.835,6.0179,5.765,6.0501,5.3191,5.4074,4.7629,5.0545,3.9626,4.8415,5.3806,3.8075,4.7404,4.174,4.4926,4.7549,4.7981,4.2781,4.6154,5.2612,4.2601
EIF4EBP1,4.6617,5.1318,3.945,4.2758,6.7486,4.2297,4.3779,4.8415,3.6148,5.5395,4.5808,3.7171,1.2636,4.1595,3.3032,3.6006,4.4771,3.3421,4.7296,6.7997,4.6577,3.325,5.4938,5.082,4.81,5.0264,4.7448,6.7743,5.322,4.6271,3.3842,5.3862,3.668,1.9226,4.3702,3.9327,2.3423,4.2728,2.5263,3.4778,3.6405,3.6532,4.97,3.9137,4.7635
ELAVL1,4.8345,5.0798,4.5473,5.2319,5.1664,5.8642,5.3629,5.7767,4.8585,5.2724,4.843,4.9814,4.9575,4.8465,4.7242,4.8207,5.0993,4.4634,5.436,5.275,5.0135,4.8314,5.5796,4.9617,5.1922,4.7367,5.4138,6.1512,4.4919,5.2064,4.7939,5.0027,4.2833,4.9905,5.0644,4.1425,4.9294,4.8817,5.07,5.0326,5.5164,4.5626,5.1027,4.7814,4.836
ELF5,-4.2934,-6.5064,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-6.5064,-3.816,-9.9658,-3.6259,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.458,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-4.035,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064
ELK1,4.6525,5.7071,3.3563,4.3569,5.1514,5.1563,5.6121,4.1931,4.8822,4.9901,5.1069,4.6468,4.8704,4.9137,4.9681,4.7209,4.8284,3.7656,5.852,3.6816,4.6306,4.2758,5.0523,4.7507,5.2691,4.7437,4.582,4.7394,3.0376,4.3104,5.435,4.5856,3.7582,4.2025,4.6479,3.4371,5.2608,4.6288,4.166,4.1376,5.3541,4.423,5.2277,4.2684,4.0454
ELK4,2.5188,1.3454,0.099,2.1345,1.8484,1.6785,1.2992,1.8323,1.2209,2.0844,1.1184,1.7446,1.2023,1.9226,1.2992,0.2998,1.105,0.5955,1.3397,1.8643,1.8801,0.7493,1.6558,1.412,0.9493,1.6466,1.2333,1.4011,0.6239,1.6604,0.9568,2.0742,0.6332,1.692,0.8726,0.7233,1.3051,1.5563,2.791,1.5013,2.0569,1.412,1.4228,1.8604,1.7575
ELMO1,1.6649,3.4291,1.8201,1.9931,3.6612,3.2929,3.1261,1.3225,2.0004,1.1641,1.5266,4.0242,3.6486,2.1345,1.2394,3.7072,2.3479,2.1894,0.3685,1.0007,1.5216,2.2175,0.9716,4.3903,3.2034,1.8363,3.9673,2.362,0.099,1.9822,2.5288,1.0293,3.2796,0.3796,4.4088,2.8178,5.014,3.9515,3.4034,4.5547,2.9356,4.5736,3.7432,1.7185,2.3308
ELOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELOC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENAH,6.2817,2.7051,2.4144,4.4602,2.9375,3.136,2.1213,5.0666,3.2018,4.0688,3.1458,4.382,3.8147,2.4805,3.2557,1.7053,2.6348,1.5013,3.4411,2.5634,1.8879,0.7321,3.6543,3.7919,2.5163,3.5312,2.5263,4.1228,2.5948,2.3981,2.3164,2.9729,1.0363,4.9727,2.3423,1.5266,4.2343,4.1119,5.022,3.1228,2.8219,3.6451,2.4332,5.067,3.0181
ENO1,6.8612,10.479,8.0423,7.9576,10.4362,7.1239,10.2077,8.7783,8.6252,8.7185,9.5285,7.5664,8.3788,9.4699,10.8735,9.9992,8.6243,8.4163,9.3252,10.5014,8.542,7.3048,8.9603,9.458,10.426,9.1705,9.053,10.0395,6.9973,8.2949,8.5345,7.8916,7.7405,6.9758,9.2184,7.2517,8.8749,9.1117,7.0989,8.6315,8.1062,8.3696,8.4878,8.6499,8.1196
ENO2,5.382,7.6608,1.4547,0.5763,5.6262,1.1641,6.7617,6.5294,4.1587,6.4793,7.2249,5.2777,5.082,8.3838,6.8417,6.4182,5.2099,5.9165,6.9063,7.2824,6.1328,4.7528,5.0365,8.1328,6.0603,6.8873,4.6012,4.8064,1.3735,3.3869,4.2518,4.6124,3.603,-0.1665,5.8465,3.8983,7.054,5.4387,3.3003,7.493,5.2491,5.4611,3.5136,-0.3201,5.0713
ENO3,3.074,0.058,2.2693,1.5216,2.0076,0.7146,1.4441,0.679,1.7532,2.5137,-0.1828,1.334,0.1776,1.5758,0.6145,3.5523,0.4016,0.8883,3.772,2.4412,2.3164,-0.4131,1.1577,0.24,1.105,2.7444,1.8242,2.4675,2.8681,2.4279,0.9115,3.0961,-0.013,2.1925,0.9038,1.5806,1.3846,0.5763,1.8762,3.3717,0.4016,1.1706,1.1117,2.2421,0.5763
ENO4,-0.5543,-3.3076,-2.3147,-1.7322,-4.035,-0.3566,-1.8836,-3.6259,-2.9324,-1.2481,-1.5105,-1.8836,-1.685,-2.5479,-0.4131,-9.9658,-1.0262,-1.5951,-0.0574,-0.9406,-1.7809,-0.5756,-0.6643,-1.5105,-0.9686,-3.458,-1.1172,-2.8262,-2.2447,-5.0116,-1.8836,-1.6394,-2.5479,-5.5735,-3.816,-3.3076,-0.5125,-1.6394,0.8883,0.0718,-0.0574,-3.0469,-2.0529,-2.0529,-3.3076
EP300,3.5461,2.4753,1.4494,2.6984,1.5854,1.9527,1.9527,1.8957,2.0325,3.4197,2.6114,1.9111,2.8301,2.3981,2.9186,2.8819,2.118,0.8726,2.9929,0.7916,2.7007,1.1897,2.7636,1.9149,2.1606,2.036,2.4753,2.3926,1.2023,2.8034,1.3167,2.233,1.2271,3.5073,1.3623,1.2147,2.4883,2.6278,2.3366,1.7954,2.651,2.2723,1.6875,3.5299,1.766
EPHA2,1.2815,0.2277,0.2762,1.0915,0.7916,0.3573,0.3796,0.6699,0.5069,0.1648,0.4233,-0.1345,-0.2845,0.2277,2.3394,2.0569,1.7995,-0.4521,0.7999,0.099,0.8327,-0.3201,1.1577,-0.5543,0.8961,-0.8599,0.517,0.9038,-0.0425,2.9488,-0.1665,0.058,0.1257,0.7146,0.1124,-0.0725,-0.1345,2.0218,0.4761,-0.9406,-0.2845,1.3454,0.099,1.6281,-0.6416
EPO,-4.035,0.3346,-3.3076,-1.5951,-9.9658,-0.8084,0.0718,-3.6259,-4.6082,-1.6394,-5.5735,-9.9658,-1.3183,-0.3566,-4.2934,0.517,-3.6259,-5.5735,-9.9658,1.1706,0.2762,-9.9658,-5.0116,0.537,-1.7809,-1.0262,-2.9324,0.7999,-2.3884,-0.7588,-3.3076,1.5902,-9.9658,-9.9658,-0.2498,-4.035,-1.5105,-6.5064,-2.0529,-4.2934,-9.9658,-9.9658,-3.0469,-9.9658,-5.0116
EPOR,3.4739,3.5935,3.4945,3.5875,2.7594,4.6399,5.3241,2.7227,3.2737,5.0409,4.2714,4.3702,5.8311,2.0707,3.9374,3.6714,4.4236,4.8837,5.3184,4.4713,3.5839,4.4169,6.0389,5.3367,3.9127,4.1724,4.5608,4.1946,2.3222,4.0969,4.3562,5.9598,4.0189,4.3841,6.3418,3.7752,4.6065,3.6393,3.9185,4.6189,5.2506,3.6883,6.1841,3.5098,5.0321
ERBB2,1.6281,0.1257,0.8805,-0.4325,4.0198,1.0151,2.5288,-0.5332,0.1776,0.547,0.3573,0.0014,0.1519,0.9268,1.8604,2.828,0.7579,-0.3752,1.8524,0.6332,1.2875,-0.2671,1.5998,0.7407,0.8246,1.7009,0.5271,1.6327,1.7141,0.9789,0.7058,0.6332,0.0014,1.1184,0.1648,-0.9132,0.4447,0.044,0.2881,1.3735,1.6512,0.0158,1.125,3.8511,-0.3383
ERBB3,-0.9132,0.9115,3.6759,-1.0559,-1.9942,-3.1714,0.0014,-1.1811,-0.394,-1.7809,-1.1172,-3.458,-1.7322,-0.9132,-1.5951,-3.0469,-0.2498,-3.458,-1.0862,-1.1172,-1.1172,-3.816,-1.7809,-3.1714,-1.8836,-3.6259,-1.0559,-1.9379,-4.2934,-3.1714,0.547,-1.7809,-2.1779,-2.0529,-0.6416,-0.3201,-2.8262,-2.3884,-1.0862,-2.3147,-1.0862,-1.1488,2.3451,6.7556,-2.3884
ERBB4,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-5.0116,-3.816,-4.6082,-1.9942,-9.9658,-4.2934,-5.5735,-9.9658,-6.5064,-6.5064,-9.9658,-6.5064,-9.9658,-0.5973,-5.0116,-5.5735,-6.5064,-9.9658,-9.9658,-3.458,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-4.6082,-9.9658,-6.5064,-5.5735,-9.9658,-1.4305,-5.0116,-6.5064,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658
ERBIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EREG,-6.5064,-9.9658,-9.9658,-5.5735,-3.1714,-9.9658,-6.5064,-9.9658,-9.9658,-6.5064,-9.9658,-5.5735,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-5.0116,-9.9658,-5.5735,-5.5735
ESR1,-1.8314,-4.2934,-1.8314,-2.9324,-0.2845,-3.816,-3.0469,-1.1172,-2.8262,-0.0425,-3.458,-0.8863,0.2522,-2.0529,-3.3076,-2.4659,-2.4659,-4.2934,-5.5735,-2.5479,-1.3183,-5.0116,-4.035,-3.816,-3.816,-0.1345,-2.9324,0.1648,-2.0529,-1.4305,-4.2934,-3.0469,-0.6193,-0.8863,-3.816,-4.6082,-1.5951,-1.8836,-3.6259,-1.7809,-1.9379,-0.9132,0.7664,-0.4131,-0.8339
ESR2,-3.0469,0.547,-0.7108,0.7832,-4.035,-2.114,1.6512,-2.8262,1.1512,-0.2671,1.4011,1.8242,0.8726,1.3956,1.9712,-3.6259,0.5069,0.24,0.6969,-5.5735,-3.816,-1.7322,0.0718,0.7916,-0.5543,0.6332,-3.0469,0.1388,-2.3884,1.7403,0.5568,-0.2845,0.3231,2.6487,0.7058,-1.5105,1.9302,1.7316,0.7579,-6.5064,1.8722,1.7489,1.0983,-2.5479,0.4016
ESRRB,-5.5735,-4.6082,-6.5064,-2.1779,-1.8314,-3.816,-1.7809,-5.0116,-4.035,-4.6082,-1.0262,2.1574,-5.5735,-1.685,-4.035,-4.035,-9.9658,-4.035,-1.8314,-3.816,-5.5735,-4.6082,-6.5064,-3.3076,-3.816,-4.2934,3.7646,-3.1714,-4.035,-5.5735,-1.8314,-3.6259,-3.816,-1.3921,-2.7274,-2.8262,-1.9942,-4.2934,-3.6259,-4.035,-2.9324,-2.2447,-3.6259,-5.5735,-3.458
ETS1,3.4984,1.1447,3.1458,3.027,4.6697,3.6077,2.0946,2.081,2.7205,1.9302,3.0038,3.3003,2.4857,2.1345,2.9893,-0.2328,3.4856,0.4657,2.2693,0.9191,1.7009,1.125,1.8404,0.5666,1.3901,1.2934,2.1574,3.7794,0.5763,1.1897,2.5011,1.7575,2.4279,1.0573,1.8444,1.5415,1.4652,3.4088,3.2065,-0.0877,2.2482,3.5657,1.7053,4.5766,3.1685
ETS2,3.3938,4.1716,4.3162,2.7572,4.8033,3.1765,3.7226,2.59,3.2856,3.1749,3.4437,4.6047,2.9128,3.0654,2.609,4.0162,4.2041,0.7407,2.0183,1.177,2.4908,2.2082,2.1957,5.3799,2.9186,2.004,2.7292,2.9432,0.7916,2.8916,2.7594,1.7995,4.3328,4.6628,3.0393,2.2931,1.4441,4.1061,2.5413,1.6875,3.1939,3.9127,2.7594,3.3773,3.6532
EVC,2.4144,1.3956,-4.035,0.3685,1.4808,2.0183,0.044,0.9343,-1.9379,1.1833,-3.0469,-4.2934,0.9716,-3.0469,0.044,0.8805,-2.9324,-4.035,-3.816,0.6517,0.1648,-1.5522,0.8647,1.4441,0.058,-3.816,-0.1345,0.1519,-1.1488,-1.1172,-1.5105,0.099,-1.2142,0.2762,-2.3884,-3.458,0.4967,0.4865,0.9935,-3.3076,1.9749,-0.9686,-6.5064,-0.7346,-2.4659
EVC2,0.8726,-5.0116,-4.2934,-6.5064,1.3956,-5.0116,-3.816,-3.816,-6.5064,-5.5735,-6.5064,-6.5064,-4.6082,-5.0116,-6.5064,-5.5735,-6.5064,-6.5064,-5.5735,-4.6082,-5.0116,-5.0116,-1.2828,-3.1714,-4.2934,-5.0116,-3.1714,-3.3076,-6.5064,-1.8836,-5.5735,-4.035,-5.0116,-4.035,-5.5735,-6.5064,-3.6259,-2.9324,-5.0116,-5.0116,-2.5479,-3.6259,-5.5735,-2.3147,-4.2934
EVL,4.5547,4.8665,2.7993,3.2722,6.2865,4.9663,4.2669,5.1954,3.9327,4.9175,4.061,4.9901,5.0905,5.1031,4.3184,4.97,4.3191,3.6748,4.5982,3.7486,4.506,3.6589,5.2335,4.5922,2.3649,5.8575,4.2691,3.2811,5.9889,4.0705,4.2669,3.8993,4.506,4.9021,3.8905,4.048,5.3107,3.8601,4.7312,3.5645,4.5015,4.4894,5.1538,2.9224,4.4463
EXOC2,2.9802,2.5061,2.7336,2.9562,2.3536,2.6325,3.2143,2.7379,2.5683,2.9839,3.2405,2.8137,3.4116,2.4831,3.0287,1.5758,2.8641,2.1734,2.5756,2.6556,2.96,1.5661,3.1377,2.4623,2.5011,1.6649,2.3135,2.4985,0.9268,2.6783,2.8076,2.1047,2.3677,3.1507,3.0533,1.7489,2.4035,2.7117,2.4571,1.3225,2.828,2.694,3.2466,2.7357,2.9281
EXOC7,5.2608,4.5386,4.0985,4.7464,4.7318,4.861,3.9965,4.8992,4.5249,4.0558,4.5589,4.1772,3.7105,4.5577,4.4074,5.2126,4.2041,3.0637,4.6645,4.443,3.3047,2.5536,4.0189,4.3744,3.7345,4.0055,4.5249,4.4556,4.2404,3.5633,3.4061,4.3855,2.9765,4.2609,2.8701,2.5536,4.6702,4.3111,4.2103,4.3328,4.2072,4.2412,3.9137,4.9919,4.5832
F2,-9.9658,-9.9658,-9.9658,-9.9658,-4.035,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-5.5735,-9.9658,-6.5064,-4.2934,-9.9658,-5.0116,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-6.5064,-9.9658,5.4148,-5.0116
