gene_name,TCGA-N5-A4R8-01,TCGA-N5-A4RA-01,TCGA-N5-A4RD-01,TCGA-N5-A4RJ-01,TCGA-N5-A4RM-01,TCGA-N5-A4RN-01,TCGA-N5-A4RO-01,TCGA-N5-A4RS-01,TCGA-N5-A4RT-01,TCGA-N5-A4RV-01,TCGA-N5-A59E-01,TCGA-N5-A59F-01,TCGA-N6-A4V9-01,TCGA-N6-A4VC-01,TCGA-N6-A4VD-01,TCGA-N6-A4VE-01,TCGA-N7-A4Y0-01,TCGA-N7-A4Y5-01,TCGA-N7-A4Y8-01,TCGA-N7-A59B-01,TCGA-N8-A4PI-01,TCGA-N8-A4PL-01,TCGA-N8-A4PM-01,TCGA-N8-A4PN-01,TCGA-N8-A4PO-01,TCGA-N8-A4PP-01,TCGA-N8-A4PQ-01,TCGA-N8-A56S-01,TCGA-N9-A4PZ-01,TCGA-N9-A4Q1-01,TCGA-N9-A4Q3-01,TCGA-N9-A4Q4-01,TCGA-N9-A4Q7-01,TCGA-NA-A4QV-01,TCGA-NA-A4QW-01,TCGA-NA-A4QX-01,TCGA-NA-A4QY-01,TCGA-NA-A4R0-01,TCGA-NA-A4R1-01,TCGA-ND-A4W6-01,TCGA-ND-A4WA-01,TCGA-ND-A4WC-01,TCGA-ND-A4WF-01,TCGA-NF-A4X2-01,TCGA-NF-A5CP-01,TCGA-NG-A4VU-01,TCGA-NG-A4VW-01,TCGA-QN-A5NN-01
CYBA,5.2438,5.7173,7.556,7.9435,7.4097,6.4398,5.1887,6.8369,7.0342,6.8881,6.9963,7.7704,6.5636,7.726,8.2976,6.7036,8.4082,4.5361,7.0609,7.7213,8.2839,6.9669,8.4714,5.1453,6.3144,7.6666,6.7793,7.6889,7.5302,6.9631,8.5486,6.4683,8.6762,7.2804,4.9896,6.3029,6.3961,7.6787,6.239,8.1431,5.8664,8.6272,6.7777,7.1401,7.2499,4.756,7.4931,8.0314
CYBB,-1.4699,-1.0262,0.9862,0.688,-0.2159,0.0014,-0.8084,-0.4521,0.3231,0.346,-0.1828,2.4306,0.5859,0.2277,2.7868,1.8323,-2.3147,-0.7834,-1.5105,2.5137,2.4727,0.6608,1.7786,2.6232,2.6533,3.4007,3.5224,1.4335,1.2992,0.547,0.4552,1.5064,4.1128,2.3649,0.9568,2.3308,2.1638,3.1717,-0.5332,3.907,1.4065,1.6187,0.679,2.9186,3.034,1.2756,0.4657,3.0163
CYCS,6.6675,6.3367,6.8013,5.3896,5.314,6.3318,6.1528,4.9846,7.2308,5.1206,5.3999,6.4681,6.1258,5.9348,5.9446,5.7856,7.3751,6.2405,5.0837,5.1293,6.1577,5.761,5.851,5.4077,6.0115,7.1184,6.3029,6.0016,5.7552,5.1301,5.4064,6.051,6.4185,5.4233,6.4484,6.6998,6.4494,5.2902,6.8101,6.1761,5.1946,6.2232,6.9666,6.9043,6.325,7.7187,6.2897,6.0657
CYLD,2.1894,2.2082,2.7508,1.1833,2.6441,2.3479,1.8683,1.6649,2.8076,1.3511,1.4281,2.2573,2.0707,2.2452,3.0127,2.5338,0.8082,1.4756,-0.5125,2.0254,2.6715,1.3283,0.9268,3.1095,1.7185,2.727,3.2049,2.6019,2.5972,2.3251,2.233,1.8879,2.9224,3.6486,3.0358,3.5959,1.4547,3.0252,2.3366,2.2452,2.2206,2.5876,2.05,2.6325,2.5011,3.2617,2.6418,3.0481
CYP17A1,-3.1714,-4.6082,3.5149,0.1257,-4.2934,-5.5735,-5.5735,-6.5064,-2.9324,-4.2934,-9.9658,-3.458,-5.5735,-2.5479,-0.7346,-2.0529,-5.0116,-2.3147,-6.5064,-1.9942,1.6466,-4.6082,-4.6082,-3.458,-5.5735,-1.3183,-3.816,0.044,-2.2447,-2.1779,-5.0116,-5.5735,-1.2481,-2.3884,-3.6259,-5.5735,-2.9324,-4.2934,-5.5735,-2.8262,-1.2481,-4.035,-2.8262,-5.5735,-1.9379,-2.3147,-3.458,-0.9132
CYP27A1,4.6623,5.1676,4.3772,4.859,4.8136,3.1212,1.5266,4.0313,-0.5332,4.061,4.0884,2.8442,4.197,1.3791,0.8488,3.9956,0.03,4.9379,4.2289,3.9393,2.8582,3.9185,1.3283,4.1676,4.1636,3.4622,4.2965,4.222,4.551,4.5361,3.2856,4.0109,4.248,5.5094,3.8187,4.3053,2.676,4.1302,2.3106,3.7815,3.9327,1.6045,1.8524,4.382,4.4751,4.7437,3.8239,2.8819
CYP7A1,-3.816,-3.816,-6.5064,-5.0116,-9.9658,-5.0116,-5.5735,-5.0116,-5.5735,-6.5064,-3.458,-6.5064,-6.5064,-6.5064,-9.9658,-6.5064,-6.5064,-5.0116,-6.5064,-9.9658,-5.5735,-9.9658,-9.9658,-6.5064,-5.5735,-6.5064,-5.5735,-6.5064,-9.9658,-9.9658,-5.5735,-6.5064,-9.9658,-6.5064,-6.5064,-4.6082,-5.5735,-9.9658,-6.5064,-5.5735,-6.5064,-9.9658,-6.5064,-6.5064,-5.0116,-6.5064,-5.5735,-9.9658
CYP8B1,-5.0116,-3.0469,-4.6082,-0.8863,-6.5064,-9.9658,-9.9658,-4.6082,-5.5735,-6.5064,-3.6259,-5.5735,-6.5064,-2.9324,-2.3147,-2.9324,-9.9658,-5.5735,-9.9658,-2.4659,-6.5064,-9.9658,-9.9658,-5.5735,-6.5064,-6.5064,-5.0116,-3.458,-6.5064,-6.5064,-4.2934,-5.5735,-9.9658,-6.5064,-5.0116,-5.0116,-2.9324,-1.5105,-9.9658,-4.2934,-4.6082,-4.6082,-6.5064,-9.9658,-2.1779,-5.0116,-5.5735,-9.9658
CYSLTR1,0.6425,-0.8339,-1.9379,-2.4659,-2.114,-1.6394,-1.0559,-1.5105,-0.7588,-3.1714,0.0014,-2.114,-0.8599,-2.9324,-1.2481,0.1648,-2.5479,-0.9132,-2.3884,-2.3884,-0.9132,-1.9942,-1.7322,-0.8084,-0.8084,-0.4325,-0.3752,-1.5951,-0.5125,-0.8599,1.105,-2.8262,-0.1187,-0.6873,-0.9406,-0.1665,-0.5543,-0.0877,-3.0469,-0.394,-2.0529,-1.8836,-0.4325,-0.9971,2.4008,3.6714,2.0395,-0.2159
CYSLTR2,-3.6259,-5.5735,0.9789,-2.5479,-5.0116,-4.6082,-4.035,-1.4699,-2.8262,-6.5064,-5.0116,0.8805,-2.9324,-2.0529,-3.1714,-0.013,-9.9658,-6.5064,-5.5735,-4.6082,-1.1811,-0.4521,-1.5522,-3.1714,-1.9942,-3.1714,-3.458,-2.8262,-6.5064,-2.4659,-3.0469,-4.035,-1.5951,-2.3147,-4.2934,-5.0116,-1.4305,-0.4719,-6.5064,-2.4659,0.8726,-2.7274,-1.3921,0.9493,-2.3147,-2.7274,-3.458,-4.6082
CYTH1,3.5349,3.0842,4.2312,3.9337,4.89,4.0225,3.1228,5.8961,3.7291,4.3979,3.9374,5.1946,5.7118,3.7149,4.7512,4.6525,3.7603,3.2766,3.4477,4.2736,3.87,3.7825,3.7378,3.6939,4.8141,3.83,3.794,3.5486,4.6938,3.7367,3.2692,3.4156,4.0816,4.5186,3.3731,2.826,3.4464,4.4257,4.1103,4.3082,4.2541,3.1011,3.7259,4.4816,4.5772,4.0287,4.3082,4.5161
CYTH2,6.4809,4.7592,5.954,5.9402,5.5534,5.6907,5.2795,5.9789,4.7751,5.7538,5.1571,5.9096,6.1731,5.4855,6.1783,7.0319,5.3498,4.8545,6.0409,6.6452,5.4509,7.0023,5.9672,5.0054,6.1861,5.7068,5.8746,5.3442,6.1185,5.082,6.0689,4.856,4.1078,5.6062,5.1107,4.7415,5.3726,5.2072,5.9773,4.9837,5.7404,5.4036,5.6639,5.5759,5.4333,4.7571,5.6244,6.2122
CYTH3,4.9617,2.9857,3.6195,3.4277,2.8422,4.1285,3.9965,3.6555,3.5136,2.5561,3.8147,3.9992,3.6748,2.2723,2.8622,3.4648,1.934,3.8044,2.5561,1.4704,3.7888,4.0392,3.3047,4.3667,3.4958,3.9792,4.1498,3.7815,3.9204,2.8361,2.7636,3.4997,1.3454,4.3527,3.5982,4.1466,4.1604,3.7752,3.7006,3.7982,3.0145,2.2268,3.9947,3.2481,4.352,4.6023,3.3938,3.6382
CYTH4,-0.7108,0.099,1.0503,0.8568,1.2023,0.6699,-0.9132,1.3679,-0.5125,0.7999,1.4859,2.3077,-0.0277,-0.0725,2.3536,1.7229,-1.0262,-0.1187,0.3115,2.4701,2.8502,-0.1187,1.5415,1.4441,1.7185,1.7446,2.3451,0.5859,1.5115,0.1776,1.3283,0.9716,3.2885,1.9264,0.8488,2.0673,2.0946,2.5238,-0.5543,2.4008,1.4065,1.0573,1.0293,2.7401,2.5011,1.3679,0.1776,2.5972
DAAM1,3.027,0.2881,1.5709,1.7828,0.6969,3.6405,2.4306,2.9375,3.1939,0.6239,2.2783,1.8564,1.5115,2.2573,4.0055,2.5585,1.1316,2.167,0.5568,1.4441,2.4985,1.334,2.5413,3.4739,3.0092,2.753,2.6019,2.3788,2.3337,1.5415,1.4065,2.59,-0.1504,2.9167,4.1748,3.6254,3.4183,2.3898,3.6748,1.6374,1.0915,2.1574,2.1047,2.0912,4.3421,3.1145,4.3435,1.7229
DAAM2,2.5112,2.8442,2.9929,1.4911,1.1577,4.551,2.9637,0.7058,3.154,3.3993,2.4279,2.362,2.328,1.5514,4.3009,3.4088,2.3222,2.8641,1.8036,0.4761,2.3953,3.3478,2.1047,3.2677,3.8116,2.5852,2.4597,2.118,2.9071,2.5972,1.8444,2.0111,-2.2447,4.9819,2.8542,3.3675,2.3222,2.7721,3.449,0.6969,1.692,-1.3183,3.2236,3.3017,3.5349,4.3965,2.183,3.6827
DAB2IP,4.2017,3.4856,4.425,3.325,3.6578,3.3938,5.1815,5.1551,3.6543,3.7992,3.9299,3.6148,3.3379,3.3661,4.4861,3.0757,2.8076,3.7836,3.3883,2.7636,3.6242,4.573,3.6054,4.0935,3.8905,3.5449,4.2258,3.5742,3.0498,3.2297,3.4661,3.3979,2.6738,3.7182,3.2647,3.867,3.2929,4.0662,2.9488,2.7931,4.0171,4.2041,3.5535,2.5683,3.9213,3.3119,4.7291,3.3689
DAPP1,-2.6349,-0.1665,-1.1488,-1.9379,-2.6349,-1.4305,-3.458,-1.1811,-1.8314,-1.8314,-2.3147,-0.9971,-0.2159,0.5271,1.5758,1.0642,-5.5735,-0.7346,-4.035,0.346,-1.3183,-2.3147,-1.2828,0.6425,0.8726,0.3573,0.6332,-0.2671,-0.8863,-1.5105,-1.4305,-0.6873,2.2237,-0.1993,-0.2671,0.044,-2.4659,1.8564,-3.816,0.2522,-1.5105,-2.1779,-2.2447,-2.5479,3.1491,-0.3383,-0.0725,-1.3183
DAXX,5.7404,4.9189,6.4488,5.2574,6.0983,5.7187,6.3158,4.8182,6.2786,5.954,5.5277,5.9191,4.497,5.3597,4.9887,6.5563,5.5802,4.1539,5.898,4.8575,4.7767,5.6494,4.9691,5.1831,5.8689,5.0867,4.5286,4.9468,5.2724,5.8458,5.7239,5.7887,5.2196,4.5534,4.5361,4.836,5.0679,5.4293,5.6736,5.0993,5.5414,5.0113,5.1875,5.5441,4.5211,4.5838,5.1498,5.6539
DBI,7.7304,8.3331,8.1198,8.3506,8.3328,6.9595,6.4756,6.7369,7.738,7.5221,7.786,7.4753,7.9945,7.4513,7.4218,8.2879,7.4866,7.6909,7.8224,8.1968,7.1276,8.4472,7.3857,6.822,7.7951,7.2395,6.8306,7.1204,7.5386,8.1649,7.7394,7.8265,8.0096,7.3588,7.3213,7.5586,8.4203,7.1752,7.1264,8.0095,7.2009,7.6814,7.9073,7.3995,8.0017,8.7755,8.0683,8.4953
DCHS1,3.2752,2.0979,2.7826,2.496,2.8799,3.8147,4.3399,2.4332,4.0833,3.3563,3.1377,2.3222,2.7249,0.8726,2.8897,3.5237,0.3231,2.5413,2.236,-0.3752,1.6045,3.421,1.6649,5.0009,4.1668,2.9507,4.4881,2.7379,3.2541,2.93,3.7193,2.4727,-1.5522,4.5596,2.7847,3.7237,3.3979,2.7183,2.9893,2.5213,3.5073,1.0222,3.0893,3.1028,3.162,2.9507,2.6487,3.2343
DCHS2,0.8961,-5.0116,-0.5543,-5.0116,1.8879,-1.4305,0.9568,-0.3022,-0.1031,-5.0116,-1.7809,-1.4699,0.7579,-1.5951,-0.6416,-0.9971,-4.2934,-2.9324,-4.035,-6.5064,-1.0862,1.0847,-1.2828,2.3843,-0.9132,-0.7834,-1.0262,-1.4699,-1.0262,-1.6394,-2.2447,-0.6193,-0.7834,0.9862,-2.2447,-1.5105,-1.2481,-3.6259,-3.0469,-3.458,1.334,-3.816,0.044,-9.9658,-5.0116,-4.6082,-2.6349,-3.0469
DCN,8.0695,8.9875,6.6854,8.3859,7.8172,6.8174,4.623,4.0688,6.999,9.9301,6.9566,7.3953,5.6605,3.6077,1.5998,7.0991,1.8722,8.1849,3.4464,2.9765,5.2559,7.0456,7.3671,10.2792,7.4285,6.8685,10.2364,7.7847,6.8977,10.6596,4.2495,9.9683,3.9012,7.1645,8.6493,9.0576,6.094,8.9909,7.2933,8.7112,5.298,5.8907,9.4405,8.7607,7.8364,8.0878,3.6207,6.9956
DDB2,2.3222,3.0463,2.8661,3.7006,4.6832,3.6335,2.9857,3.9506,4.1119,4.3378,3.8749,3.8023,3.0533,2.7205,4.5516,5.4572,4.499,2.1378,2.9356,3.8411,2.9394,2.3649,2.7292,3.6894,5.1231,3.345,3.773,2.7615,3.0876,2.9857,3.2617,2.2175,3.6219,3.8157,3.1162,3.3134,2.4727,3.4726,4.17,3.5971,4.2661,3.6486,2.5634,3.8521,3.1765,2.2299,3.8249,2.4805
DDIT3,5.8197,6.2919,6.2202,5.4935,6.8465,4.4732,4.1086,5.824,4.8218,7.2671,6.1769,4.7236,5.6209,5.2943,4.9289,6.1916,5.0286,5.6818,4.7383,6.3778,5.4473,4.9677,5.4373,5.2227,5.0392,7.1118,4.7814,5.7751,4.8022,5.4938,4.8435,5.2107,6.2722,6.74,6.9173,6.1823,3.186,4.026,4.7882,5.3937,5.1094,4.845,4.4654,4.9241,5.1635,4.7517,4.0773,4.597
DDIT4,7.662,7.4652,8.3603,6.6501,8.0565,5.5723,8.6316,5.9923,6.1371,9.1604,7.0169,5.1306,8.8266,6.9093,6.5297,8.9421,8.7136,6.4121,7.2999,5.6665,9.7162,7.198,7.1469,6.578,6.5893,7.9587,6.7007,6.0409,6.516,6.4315,6.2407,5.6462,5.7892,6.4775,7.0786,7.5631,7.6487,7.7139,7.2835,7.1901,6.5893,8.6748,5.9605,7.1826,6.9369,7.1048,7.4701,7.7234
DDX3X,5.5723,5.4552,6.0696,5.1375,4.764,5.7189,7.099,4.4067,6.2957,4.9505,5.0644,5.6846,5.8365,6.2937,6.0378,5.9043,5.3331,4.8763,4.079,4.4686,5.4337,4.9677,4.8515,6.0909,5.6554,5.861,5.5154,6.2928,5.392,5.2913,5.6773,5.537,5.0387,5.7274,6.6864,6.0045,6.0277,6.0488,6.9177,4.7512,5.6767,6.1942,5.3695,6.1645,6.0738,5.66,6.1108,5.5043
DDX58,0.9862,1.0007,1.46,1.7828,0.7748,1.3846,1.6695,1.934,3.8461,-0.4521,1.1897,1.7273,3.2158,2.2633,2.9432,3.8421,2.3926,-0.9686,0.099,4.8218,1.5563,1.9749,1.683,1.0293,1.6875,3.9599,3.5572,2.1247,3.5863,1.0573,1.7229,1.4228,2.4332,1.7403,1.1382,1.3454,1.1577,3.3521,2.4465,1.8242,1.816,2.9148,1.642,1.196,4.061,0.6332,2.2603,2.8522
DEFB4A,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.0262,1.683,-2.0529,-9.9658,-9.9658,-9.9658,0.1388,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-0.5332,-9.9658,-2.1779,-9.9658,-9.9658,-0.6416,-9.9658,-9.9658,-9.9658,-1.7322,-9.9658,2.2391,-9.9658,-9.9658,-9.9658,-9.9658,1.6374,-9.9658,-9.9658,-9.9658
DEFB4B,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.7274,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,1.949,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.685,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.5522,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.816,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
DEPDC5,2.3649,1.8762,2.3704,2.1411,3.3032,2.1378,2.0979,2.5804,3.3787,2.4171,3.0181,3.3003,1.8762,0.03,2.676,1.8604,2.6371,1.3397,2.3222,2.7721,1.5661,2.1925,1.2875,3.091,2.5112,2.5731,3.1908,2.4225,2.9507,2.3843,1.9377,2.0979,2.4675,2.183,3.2328,1.8363,2.1766,2.0979,2.5948,1.8801,2.2901,2.4198,2.3193,2.4831,2.4306,2.3337,2.8641,2.4805
DEPTOR,4.4337,3.3235,2.6019,2.9186,1.5709,2.1925,3.1844,1.4174,3.3535,0.7146,1.674,3.8521,2.108,4.251,4.9407,3.8837,0.3346,5.602,2.7594,1.8524,4.8555,2.3077,2.7401,3.0944,4.0037,2.9618,5.0233,3.5249,3.4713,3.4451,2.7117,4.1392,1.4335,3.4752,4.373,4.7603,3.4264,3.9682,0.9115,4.8218,2.5238,2.1444,3.7171,1.4911,6.1908,5.1384,5.4893,3.8621
DHH,-4.035,-9.9658,0.6145,-3.1714,-5.5735,-0.8863,-2.2447,-3.3076,-1.1811,-3.6259,-3.6259,-2.7274,-9.9658,-6.5064,-3.3076,-3.458,-1.1811,-2.8262,-3.6259,-9.9658,-3.0469,-5.5735,-4.2934,-3.6259,-1.1172,-2.3147,-3.816,-3.6259,-3.0469,-2.0529,-2.4659,-4.035,-3.3076,-1.2828,-4.035,-5.5735,-3.0469,-1.4699,-3.6259,-3.0469,-1.0262,-3.458,-3.6259,-3.1714,-1.5951,-6.5064,-6.5064,-1.685
DHX33,3.3478,1.816,1.9415,1.4441,2.108,1.7053,2.9674,2.8361,2.5634,1.9452,2.0569,2.2452,2.2051,2.3898,2.828,1.5266,2.7073,2.1047,1.8201,0.7058,3.8847,3.0428,1.7403,2.4649,2.6138,2.7336,2.1509,2.1574,2.3953,1.5902,0.7916,2.3479,2.5036,1.4174,2.3926,1.7954,2.2421,2.0638,2.6185,2.1313,2.4171,2.1702,1.9895,2.2019,2.5163,2.4908,3.1955,2.0535
DHX58,2.036,1.4281,2.2513,3.5262,3.2359,2.7972,0.1776,5.599,3.4868,2.8341,2.8661,3.3993,2.4008,1.5612,4.1724,4.3385,3.7335,0.7233,1.7009,4.7597,3.1011,1.9786,3.1261,3.7877,2.2931,3.5669,3.907,2.9747,3.4034,2.3732,2.0183,1.6512,4.1252,3.5994,1.4494,1.8078,1.1316,4.14,-0.2328,3.3478,4.5066,3.1062,0.9115,2.4675,4.5098,-0.1031,2.5876,3.551
DIAPH1,4.1644,4.0287,4.9265,5.07,4.3506,4.2158,5.7632,6.079,4.1796,4.9951,4.6916,4.9002,4.9232,5.8217,5.3951,5.479,4.1474,2.8622,4.9978,5.0032,5.8645,5.1289,5.4829,3.8249,4.8719,5.5432,5.1264,5.1107,4.7448,3.2647,5.1543,3.6347,5.0803,5.0086,4.1178,4.2676,4.6095,5.0562,5.5552,4.5988,4.8748,6.1534,5.1235,5.218,5.2165,3.8116,5.2365,5.1768
DISP1,1.6695,0.679,2.296,1.4441,0.8883,2.1638,0.7916,2.4985,2.1734,3.7389,2.1047,0.9789,1.5854,2.1862,1.8484,1.5064,-0.1031,2.1766,1.3283,1.2085,0.3573,0.6699,0.8647,2.4439,2.4171,0.1257,1.7744,1.3167,1.8282,1.0222,1.4704,0.9268,0.537,2.2113,2.9109,2.2391,1.5266,1.8564,1.5709,0.5763,1.2815,0.7321,1.3109,2.2268,1.105,2.5634,1.7403,1.0779
DKK1,-0.4921,-1.9942,-0.5332,0.4552,-1.1172,-4.035,2.561,3.0376,0.5069,-0.0877,3.7017,0.3685,3.4129,3.7561,-9.9658,0.24,-0.1993,-0.3566,-6.5064,-6.5064,-4.6082,4.1907,-1.1811,-2.3884,0.8805,3.0181,3.6042,3.0619,2.9167,-2.7274,6.6771,-0.0574,-4.2934,3.6804,1.4756,-0.1665,4.9681,-3.816,-2.0529,0.688,6.6035,-0.0277,2.081,-2.4659,-2.8262,-2.4659,-0.4325,2.3536
DKK2,1.2756,2.4252,3.3163,2.4412,-0.7346,2.0111,-0.1504,-3.816,1.2023,0.4657,3.0637,-2.114,2.4035,-3.0469,-1.2828,2.3222,-6.5064,1.6875,-5.0116,-5.0116,-3.6259,-1.0862,-1.1172,1.2815,0.8883,0.8647,2.6918,1.3454,-0.6873,0.044,-1.4305,0.9642,-3.1714,1.674,0.8726,2.609,-1.4699,-0.0725,-2.7274,-0.1187,-0.1345,-2.8262,1.0711,0.5069,-0.0877,3.6266,3.6635,-1.3183
DKK4,-3.816,-4.2934,-3.6259,-4.2934,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.035,-0.5973,-9.9658,0.4865,-1.7809,-2.8262,-4.035,-9.9658,-9.9658,-9.9658,-4.2934,-3.6259,-3.1714,-4.2934,-4.2934,-9.9658,-9.9658,-5.5735,-9.9658,-3.6259,-2.6349,-3.1714,-5.0116,-9.9658,-4.2934,-2.3884,-9.9658,-5.0116,-9.9658,-5.0116,-5.0116,-4.2934,4.4169,-9.9658,-9.9658,-2.5479,-2.2447,-3.3076,-2.7274
DLG1,4.3046,3.9431,4.1946,3.5899,2.9052,4.6606,4.7448,3.5863,4.7394,2.6138,2.9205,4.0091,3.7688,4.4216,4.2412,3.9318,2.3871,4.0445,3.1311,4.3191,3.8973,4.1027,2.8661,5.3306,4.0627,4.9184,4.1145,4.1764,4.4797,4.837,4.1261,3.2466,2.5313,4.404,4.6804,3.6006,4.3958,3.3061,4.2563,2.8877,4.2803,3.5947,2.9984,3.2959,5.0648,4.6657,4.6329,4.0436
DLG2,1.9073,0.4233,-0.6193,-3.1714,-1.7322,0.8726,-1.8314,-1.0559,0.0854,-2.1779,-0.5756,-1.6394,0.2642,0.2762,0.7999,0.1124,-2.0529,-1.0559,-3.458,-0.4131,-2.4659,-1.3921,-2.4659,1.9302,-0.4521,-4.2934,0.7579,1.125,0.3115,-0.3383,-1.4699,0.2762,-4.2934,0.2642,2.1925,1.0642,-1.7322,-0.6873,-0.9971,-0.7834,-0.8863,-2.4659,-0.5125,-2.7274,-0.8084,-0.4131,0.1903,-2.6349
DLG3,1.949,1.5115,3.0961,3.2692,3.3925,3.9213,4.499,4.4562,3.6759,3.208,3.0671,3.1327,4.1078,3.9421,3.7625,4.4667,2.2753,0.3115,2.9109,3.8064,3.9819,3.1781,3.7116,3.9223,3.1311,4.1676,3.1311,3.9682,3.4197,1.6604,3.728,2.7379,2.2813,3.3897,1.9149,1.412,3.5621,3.5791,5.1002,2.2113,3.3478,3.87,2.3816,2.6918,3.7678,1.7009,4.1244,2.9784
DLG4,4.6685,2.1013,4.425,3.3828,3.1733,3.4933,3.9829,5.1914,3.7389,5.3306,4.8832,3.9965,2.8301,3.7226,4.2235,2.7444,4.8182,2.2175,4.0824,0.605,5.1014,5.1883,3.4291,3.4504,3.6089,4.3876,4.174,3.3577,3.9327,2.694,2.9109,2.5585,1.9073,5.0014,2.5658,2.9469,2.5707,3.3192,4.6617,4.4263,4.4404,3.3731,4.8905,3.2662,3.8105,1.4859,3.9654,4.1804
DLG5,3.6714,2.362,3.6771,5.131,2.4985,5.7361,4.2965,3.8023,3.6657,3.8033,2.4701,3.2707,5.0108,4.2548,4.0688,3.992,2.1114,3.2374,1.2636,2.6138,2.3077,4.8131,2.6114,5.9766,4.4523,4.1178,4.6623,4.421,4.4189,3.2766,3.958,2.9205,0.4016,5.2126,4.1523,2.9319,4.3413,5.1635,4.9778,1.9302,4.0064,3.87,4.5355,4.1756,3.7389,4.5299,4.9896,4.2995
DLL1,0.9935,3.074,2.5585,1.4335,1.2085,2.4439,1.8722,1.3454,2.0946,-0.4719,0.5859,1.5316,2.5288,2.753,0.6425,1.9786,-0.6193,3.8002,-1.2142,-0.6643,1.2576,-1.0262,0.1257,3.2374,3.245,1.3454,2.0776,1.125,3.4034,3.5959,0.9268,2.7679,-0.6643,2.5388,3.222,2.7657,1.6187,2.1047,-0.4719,1.8683,-0.9406,0.9789,1.3956,-0.5543,1.4911,4.7571,1.0151,1.6875
DLL3,3.2158,1.7702,2.1957,1.2209,3.3119,1.0642,1.3167,0.7493,5.7442,1.2333,1.7316,1.0151,0.605,-1.9942,0.1257,0.6608,3.9156,-0.2159,2.2901,0.346,-0.394,2.6302,-2.3147,0.9115,-2.114,0.8488,1.1833,0.6145,2.2872,0.1519,-0.6193,2.9109,-1.5105,1.5216,1.3901,3.8501,1.5514,-0.3201,3.4384,2.0218,1.9968,0.3907,1.4011,-0.9971,-1.2828,-1.7322,-0.8599,1.125
DLL4,1.7617,1.1184,2.2573,2.0395,1.9859,3.7982,0.0718,0.9038,1.3791,0.5859,2.1988,1.6327,1.7828,1.9034,1.7828,2.0878,2.1541,0.9568,0.1903,0.7321,3.3605,-0.5973,2.667,1.787,3.2405,1.9822,0.8961,2.2082,2.6647,2.3222,1.614,1.1512,0.6145,2.5188,1.0711,2.4908,1.8201,2.167,1.7532,2.4597,1.7273,1.7053,1.2934,2.0004,3.8228,2.874,2.0076,2.5536
DNM1L,5.5164,4.0541,5.0304,4.2072,4.6053,4.7619,5.3144,5.4542,5.4199,4.5976,5.9626,4.6702,4.6159,5.443,4.5669,4.449,4.7528,4.6023,4.8253,4.3751,3.9251,4.6101,4.4027,4.9654,4.7629,4.66,4.1579,4.9819,4.855,4.7756,5.8014,4.7176,4.6894,3.7138,3.9947,4.2111,4.2518,4.5148,4.9251,3.2359,4.1899,3.8769,5.0854,4.5784,4.735,4.4836,4.6894,4.1327
DOCK2,-1.3548,-0.6873,-0.1828,0.9419,0.2154,-0.2671,0.2881,-0.1345,0.5568,2.0979,0.03,1.1833,0.6608,-0.8339,1.3846,1.4011,-2.0529,-0.9132,-1.1488,0.8408,1.2085,-0.7108,0.1903,1.4065,1.0433,1.5366,2.2175,0.7832,0.0718,0.4865,0.4447,-0.4921,3.0323,0.9419,0.5271,1.0151,0.4552,2.6624,0.1519,2.3193,0.7579,0.1776,1.0293,1.2696,1.3901,0.0718,-0.7346,1.3051
DOCK4,-0.9971,-1.8314,0.8408,-0.1993,-0.013,0.9493,1.7053,1.8683,1.3454,0.6425,1.1117,0.2154,2.183,0.4233,2.1247,0.6145,-0.1828,-1.5105,-1.9379,-1.4305,1.4228,1.1897,-0.2498,0.7832,1.4652,2.0878,0.434,1.5806,1.9931,-0.6873,0.7407,0.1124,0.3115,1.4704,1.0573,1.3567,0.6517,1.2455,-1.2142,0.1388,-0.2845,1.3109,2.4117,2.0289,2.1734,1.0642,0.9419,1.5266
DRD1,-2.7274,-3.816,-1.5522,-3.816,-9.9658,-5.5735,-5.0116,-3.0469,-2.2447,-5.0116,-0.6416,-1.8836,-2.114,-3.0469,-0.3022,0.679,-6.5064,-3.6259,-9.9658,-9.9658,-3.1714,-1.3548,-5.5735,-3.458,-1.9379,-2.8262,-0.8339,0.8408,0.0014,-5.5735,-3.1714,-3.3076,-5.5735,-2.3147,-3.458,-2.7274,-0.9406,-3.816,-2.8262,-0.6416,-5.0116,-4.2934,-2.7274,-9.9658,-6.5064,-9.9658,-1.0559,0.547
